Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
AAMC,Altisource Asset Management Corp Com,United States,,AMEX,AAMC
AAU,Almaden Minerals Ltd. Common Shares,Canada,2015,AMEX,AAU
ACU,Acme United Corporation. Common Stock,United States,1988,AMEX,ACU
ACY,AeroCentury Corp. Common Stock,United States,,AMEX,ACY
ADRA,Adara Acquisition Corp. Class A Common Stock,United States,2021,AMEX,ADRA
AE,Adams Resources & Energy Inc. Common Stock,United States,,AMEX,AE
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,United States,,AMEX,AEF
AGE,AgeX Therapeutics Inc. Common Stock,,2018,AMEX,AGE
AIM,AIM ImmunoTech Inc. Common Stock,United States,,AMEX,AIM
AINC,Ashford Inc. (Holding Company) Common Stock,United States,2014,AMEX,AINC
AIRI,Air Industries Group Common Stock,United States,,AMEX,AIRI
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,China,,AMEX,AMBO
AMPE,Ampio Pharmaceuticals Inc.,United States,,AMEX,AMPE
AMS,American Shared Hospital Services Common Stock,United States,,AMEX,AMS
ANVS,Annovis Bio Inc. Common Stock,United States,2020,AMEX,ANVS
APT,Alpha Pro Tech Ltd. Common Stock,Canada,,AMEX,APT
ARMP,Armata Pharmaceuticals Inc. Common Stock,United States,,AMEX,ARMP
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),Canada,,AMEX,ASM
ASXC,Asensus Surgical Inc. Common Stock,United States,,AMEX,ASXC
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,United States,,AMEX,ATNM
AUMN,Golden Minerals Company Common Stock,United States,,AMEX,AUMN
AWX,Avalon Holdings Corporation Common Stock,United States,,AMEX,AWX
AXU,Alexco Resource Corp Common Shares (Canada),Canada,,AMEX,AXU
BATL,Battalion Oil Corporation Common Stock,,,AMEX,BATL
BCV,Bancroft Fund Ltd.,United States,,AMEX,BCV
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,United States,,AMEX,BCV.A
BDL,Flanigan's Enterprises Inc. Common Stock,United States,,AMEX,BDL
BDR,Blonder Tongue Laboratories Inc. Common Stock,United States,,AMEX,BDR
BGI,Birks Group Inc. Common Stock,Canada,,AMEX,BGI
BHB,Bar Harbor Bankshares Inc. Common Stock,United States,,AMEX,BHB
BKTI,BK Technologies Corporation Common Stock,United States,,AMEX,BKTI
BMTX,BM Technologies Inc. Common Stock,,2018,AMEX,BMTX
BRBS,Blue Ridge Bankshares Inc. Common Stock,,,AMEX,BRBS
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,,2014,AMEX,BRG
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,,,AMEX,BRG.C
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),,,AMEX,BRG.D
BRN,Barnwell Industries Inc. Common Stock,United States,,AMEX,BRN
BTG,B2Gold Corp Common shares (Canada),Canada,,AMEX,BTG
BTN,Ballantyne Strong Inc. Common Stock,United States,,AMEX,BTN
BTTR,Better Choice Company Inc. Common Stock,,2021,AMEX,BTTR
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,United States,,AMEX,BTX
BWL/A,Bowl America Inc.,United States,,AMEX,BWL/A
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),Israel,,AMEX,CANF
CCF,Chase Corporation Common Stock,United States,,AMEX,CCF
CDOR,Condor Hospitality Trust Inc. Common Stock,United States,,AMEX,CDOR
CEI,Camber Energy Inc. Common Stock,United States,,AMEX,CEI
CET,Central Securities Corporation Common Stock,United States,,AMEX,CET
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,United States,1999,AMEX,CEV
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,,2020,AMEX,CHAQ
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,,2021,AMEX,CHFW
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,United States,,AMEX,CIK
CIX,CompX International Inc. Common Stock,United States,1998,AMEX,CIX
CKX,CKX Lands Inc. Common Stock,United States,,AMEX,CKX
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,United States,1987,AMEX,CLM
CMCL,Caledonia Mining Corporation Plc Common Shares,Canada,,AMEX,CMCL
CMT,Core Molding Technologies Inc Common Stock,United States,,AMEX,CMT
COHN,Cohen & Company Inc.,United States,,AMEX,COHN
CPHI,China Pharma Holdings Inc. Common Stock,China,,AMEX,CPHI
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,United States,2007,AMEX,CQP
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,United States,,AMEX,CRF
CTEK,CynergisTek Inc. Common Stock,United States,2017,AMEX,CTEK
CVM,Cel-Sci Corporation Common Stock,United States,,AMEX,CVM
CVR,Chicago Rivet & Machine Co. Common Stock,United States,,AMEX,CVR
CVU,CPI Aerostructures Inc. Common Stock,United States,,AMEX,CVU
DHY,Credit Suisse High Yield Bond Fund Common Stock,United States,1998,AMEX,DHY
DIT,AMCON Distributing Company Common Stock,United States,,AMEX,DIT
DLA,Delta Apparel Inc. Common Stock,United States,,AMEX,DLA
DMF,BNY Mellon Municipal Income Inc. Common Stock,United States,1988,AMEX,DMF
DNN,Denison Mines Corp Ordinary Shares (Canada),Canada,,AMEX,DNN
DPW,Ault Global Holdings Inc. Common Stock,United States,,AMEX,DPW
DSS,Document Security Systems Inc. Common Stock,United States,,AMEX,DSS
DXF,Dunxin Financial Holdings Limited American Depositary Shares,China,,AMEX,DXF
DXR,Daxor Corporation Common Stock,United States,,AMEX,DXR
EAD,Wells Fargo Income Opportunities Fund Common Shares,United States,2003,AMEX,EAD
ECF,Ellsworth Growth and Income Fund Ltd.,United States,1986,AMEX,ECF
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),United States,,AMEX,ECF.A
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,2002,AMEX,EIM
